feature_filepath,feature_type,filepath,subset_filepath,label,split,channel,dataset,speaker_id,attack_id,attack_category,shape
data/features/logmel/train/LA_train_LA_T_3324661.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3324661.flac,data/subset_raw/LA_train_LA_T_3324661.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_3324661.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3324661.flac,data/subset_raw/LA_train_LA_T_3324661.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_6636159.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6636159.flac,data/subset_raw/LA_train_LA_T_6636159.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_6636159.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6636159.flac,data/subset_raw/LA_train_LA_T_6636159.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_1744427.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1744427.flac,data/subset_raw/LA_train_LA_T_1744427.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_1744427.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1744427.flac,data/subset_raw/LA_train_LA_T_1744427.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_5314492.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5314492.flac,data/subset_raw/LA_train_LA_T_5314492.flac,bonafide,train,clean,LA,LA_0088,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_5314492.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5314492.flac,data/subset_raw/LA_train_LA_T_5314492.flac,bonafide,train,clean,LA,LA_0088,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_1933449.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1933449.flac,data/subset_raw/LA_train_LA_T_1933449.flac,bonafide,train,clean,LA,LA_0083,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_1933449.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1933449.flac,data/subset_raw/LA_train_LA_T_1933449.flac,bonafide,train,clean,LA,LA_0083,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_4400269.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4400269.flac,data/subset_raw/LA_train_LA_T_4400269.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_4400269.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4400269.flac,data/subset_raw/LA_train_LA_T_4400269.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_1897758.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1897758.flac,data/subset_raw/LA_train_LA_T_1897758.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_1897758.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1897758.flac,data/subset_raw/LA_train_LA_T_1897758.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_9074017.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9074017.flac,data/subset_raw/LA_train_LA_T_9074017.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_9074017.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9074017.flac,data/subset_raw/LA_train_LA_T_9074017.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8874328.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8874328.flac,data/subset_raw/LA_train_LA_T_8874328.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8874328.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8874328.flac,data/subset_raw/LA_train_LA_T_8874328.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8388870.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8388870.flac,data/subset_raw/LA_train_LA_T_8388870.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8388870.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8388870.flac,data/subset_raw/LA_train_LA_T_8388870.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[20, 400]"
data/features/logmel/val/LA_val_LA_T_4290789.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4290789.flac,data/subset_raw/LA_val_LA_T_4290789.flac,bonafide,val,clean,LA,LA_0089,-,bonafide,"[80, 400]"
data/features/mfcc/val/LA_val_LA_T_4290789.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4290789.flac,data/subset_raw/LA_val_LA_T_4290789.flac,bonafide,val,clean,LA,LA_0089,-,bonafide,"[20, 400]"
data/features/logmel/test/LA_test_LA_T_9506168.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9506168.flac,data/subset_raw/LA_test_LA_T_9506168.flac,bonafide,test,clean,LA,LA_0097,-,bonafide,"[80, 400]"
data/features/mfcc/test/LA_test_LA_T_9506168.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9506168.flac,data/subset_raw/LA_test_LA_T_9506168.flac,bonafide,test,clean,LA,LA_0097,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_4606578.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4606578.flac,data/subset_raw/LA_train_LA_T_4606578.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_4606578.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4606578.flac,data/subset_raw/LA_train_LA_T_4606578.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_9863654.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9863654.flac,data/subset_raw/LA_train_LA_T_9863654.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_9863654.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9863654.flac,data/subset_raw/LA_train_LA_T_9863654.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_2439075.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2439075.flac,data/subset_raw/LA_train_LA_T_2439075.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_2439075.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2439075.flac,data/subset_raw/LA_train_LA_T_2439075.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_5954195.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5954195.flac,data/subset_raw/LA_train_LA_T_5954195.flac,bonafide,train,clean,LA,LA_0079,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_5954195.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5954195.flac,data/subset_raw/LA_train_LA_T_5954195.flac,bonafide,train,clean,LA,LA_0079,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_4362109.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4362109.flac,data/subset_raw/LA_train_LA_T_4362109.flac,bonafide,train,clean,LA,LA_0079,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_4362109.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4362109.flac,data/subset_raw/LA_train_LA_T_4362109.flac,bonafide,train,clean,LA,LA_0079,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_5326363.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5326363.flac,data/subset_raw/LA_train_LA_T_5326363.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_5326363.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5326363.flac,data/subset_raw/LA_train_LA_T_5326363.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[20, 400]"
data/features/logmel/test/LA_test_LA_T_1611587.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1611587.flac,data/subset_raw/LA_test_LA_T_1611587.flac,bonafide,test,clean,LA,LA_0086,-,bonafide,"[80, 400]"
data/features/mfcc/test/LA_test_LA_T_1611587.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1611587.flac,data/subset_raw/LA_test_LA_T_1611587.flac,bonafide,test,clean,LA,LA_0086,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8052308.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8052308.flac,data/subset_raw/LA_train_LA_T_8052308.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8052308.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8052308.flac,data/subset_raw/LA_train_LA_T_8052308.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_6015645.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6015645.flac,data/subset_raw/LA_train_LA_T_6015645.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_6015645.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6015645.flac,data/subset_raw/LA_train_LA_T_6015645.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_5065316.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5065316.flac,data/subset_raw/LA_train_LA_T_5065316.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_5065316.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5065316.flac,data/subset_raw/LA_train_LA_T_5065316.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_5374473.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5374473.flac,data/subset_raw/LA_train_LA_T_5374473.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_5374473.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5374473.flac,data/subset_raw/LA_train_LA_T_5374473.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_4176612.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4176612.flac,data/subset_raw/LA_train_LA_T_4176612.flac,bonafide,train,clean,LA,LA_0080,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_4176612.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4176612.flac,data/subset_raw/LA_train_LA_T_4176612.flac,bonafide,train,clean,LA,LA_0080,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_9593260.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9593260.flac,data/subset_raw/LA_train_LA_T_9593260.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_9593260.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9593260.flac,data/subset_raw/LA_train_LA_T_9593260.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_3154528.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3154528.flac,data/subset_raw/LA_train_LA_T_3154528.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_3154528.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3154528.flac,data/subset_raw/LA_train_LA_T_3154528.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[20, 400]"
data/features/logmel/val/LA_val_LA_T_5669661.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5669661.flac,data/subset_raw/LA_val_LA_T_5669661.flac,bonafide,val,clean,LA,LA_0089,-,bonafide,"[80, 400]"
data/features/mfcc/val/LA_val_LA_T_5669661.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5669661.flac,data/subset_raw/LA_val_LA_T_5669661.flac,bonafide,val,clean,LA,LA_0089,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_3995089.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3995089.flac,data/subset_raw/LA_train_LA_T_3995089.flac,bonafide,train,clean,LA,LA_0079,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_3995089.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3995089.flac,data/subset_raw/LA_train_LA_T_3995089.flac,bonafide,train,clean,LA,LA_0079,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_2345808.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2345808.flac,data/subset_raw/LA_train_LA_T_2345808.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_2345808.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2345808.flac,data/subset_raw/LA_train_LA_T_2345808.flac,bonafide,train,clean,LA,LA_0091,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_7075102.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_7075102.flac,data/subset_raw/LA_train_LA_T_7075102.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_7075102.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_7075102.flac,data/subset_raw/LA_train_LA_T_7075102.flac,bonafide,train,clean,LA,LA_0081,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_7974459.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_7974459.flac,data/subset_raw/LA_train_LA_T_7974459.flac,bonafide,train,clean,LA,LA_0083,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_7974459.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_7974459.flac,data/subset_raw/LA_train_LA_T_7974459.flac,bonafide,train,clean,LA,LA_0083,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_4105004.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4105004.flac,data/subset_raw/LA_train_LA_T_4105004.flac,bonafide,train,clean,LA,LA_0080,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_4105004.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4105004.flac,data/subset_raw/LA_train_LA_T_4105004.flac,bonafide,train,clean,LA,LA_0080,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_3485288.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3485288.flac,data/subset_raw/LA_train_LA_T_3485288.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_3485288.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3485288.flac,data/subset_raw/LA_train_LA_T_3485288.flac,bonafide,train,clean,LA,LA_0092,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_7208401.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_7208401.flac,data/subset_raw/LA_train_LA_T_7208401.flac,bonafide,train,clean,LA,LA_0094,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_7208401.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_7208401.flac,data/subset_raw/LA_train_LA_T_7208401.flac,bonafide,train,clean,LA,LA_0094,-,bonafide,"[20, 400]"
data/features/logmel/val/LA_val_LA_T_4436477.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4436477.flac,data/subset_raw/LA_val_LA_T_4436477.flac,bonafide,val,clean,LA,LA_0089,-,bonafide,"[80, 400]"
data/features/mfcc/val/LA_val_LA_T_4436477.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4436477.flac,data/subset_raw/LA_val_LA_T_4436477.flac,bonafide,val,clean,LA,LA_0089,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8208951.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8208951.flac,data/subset_raw/LA_train_LA_T_8208951.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8208951.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8208951.flac,data/subset_raw/LA_train_LA_T_8208951.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_8651978.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8651978.flac,data/subset_raw/LA_train_LA_T_8651978.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_8651978.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8651978.flac,data/subset_raw/LA_train_LA_T_8651978.flac,bonafide,train,clean,LA,LA_0087,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_1963829.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1963829.flac,data/subset_raw/LA_train_LA_T_1963829.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_1963829.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1963829.flac,data/subset_raw/LA_train_LA_T_1963829.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[20, 400]"
data/features/logmel/test/LA_test_LA_T_4891261.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4891261.flac,data/subset_raw/LA_test_LA_T_4891261.flac,bonafide,test,clean,LA,LA_0093,-,bonafide,"[80, 400]"
data/features/mfcc/test/LA_test_LA_T_4891261.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4891261.flac,data/subset_raw/LA_test_LA_T_4891261.flac,bonafide,test,clean,LA,LA_0093,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_2280500.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2280500.flac,data/subset_raw/LA_train_LA_T_2280500.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_2280500.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2280500.flac,data/subset_raw/LA_train_LA_T_2280500.flac,bonafide,train,clean,LA,LA_0084,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_5799348.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5799348.flac,data/subset_raw/LA_train_LA_T_5799348.flac,bonafide,train,clean,LA,LA_0090,-,bonafide,"[80, 400]"
data/features/mfcc/train/LA_train_LA_T_5799348.npy,mfcc,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5799348.flac,data/subset_raw/LA_train_LA_T_5799348.flac,bonafide,train,clean,LA,LA_0090,-,bonafide,"[20, 400]"
data/features/logmel/train/LA_train_LA_T_3680444.npy,logmel,data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3680444.flac,data/subset_raw/LA_train_LA_T_3680444.flac,bonafide,train,clean,LA,LA_0096,-,bonafide,"[80, 400]"
